,CODE,Port,Country,latitude,longitude
414,ATWMP,WIMPASSING,AUSTRIA,,
415,ATWNF,WIENER NEUDORF,AUSTRIA,,
416,ATWNR,WIENER NEUSTADT,AUSTRIA,,
417,ATWOL,WOLPASSING,AUSTRIA,,
418,ATWRT,WARTBERG (?),AUSTRIA,,
419,ATWSL,WELS,AUSTRIA,,
420,ATWSS,WEISSENSTEIN,AUSTRIA,,
421,ATWTN,WATTENS,AUSTRIA,,
422,ATZRS,ZURS/LECH,AUSTRIA,,
423,ATZWD,ZWENTENDORF (?),AUSTRIA,,
424,ATZWT,ZWETTL,AUSTRIA,,
425,AUAAB,ARRABURY,AUSTRALIA,,
426,AUABG,ABINGDON,AUSTRALIA,,
427,AUABH,ALPHA,AUSTRALIA,,
428,AUABL,AMBERLEY,AUSTRALIA,,
429,AUABP,ABBOT POINT,AUSTRALIA,,
430,AUABX,ALBURY,AUSTRALIA,,
431,AUADA,ADELAIDE APT,AUSTRALIA,,
432,AUADL,ADELAIDE,AUSTRALIA,,
433,AUADO,ANDAMOOKA,AUSTRALIA,,
434,AUAGW,AGNEW,AUSTRALIA,,
435,AUAGY,ARGYLE DOWNS,AUSTRALIA,,
436,AUALH,ALBANY,AUSTRALIA,,
437,AUALT,ALTONA,AUSTRALIA,,
438,AUAMT,AMATA,AUSTRALIA,,
439,AUAMX,AMMAROO,AUSTRALIA,,
440,AUANZ,ANGUS DOWNS,AUSTRALIA,,
441,AUARD,ARDROSSAN,AUSTRALIA,,
442,AUARM,ARMIDALE,AUSTRALIA,,
443,AUARY,ARARAT,AUSTRALIA,,
444,AUASP,ALICE SPRINGS,AUSTRALIA,,
445,AUAUD,AUGUSTUS DOWNS,AUSTRALIA,,
446,AUAUU,AURUKUN MISSION,AUSTRALIA,,
447,AUAVG,AUVERGNE,AUSTRALIA,,
448,AUAVV,AVALON,AUSTRALIA,,
449,AUAWN,ALTON DOWNS,AUSTRALIA,,
450,AUAWP,AUSTRAL DOWNS,AUSTRALIA,,
451,AUAXC,ARAMAC,AUSTRALIA,,
452,AUAXL,ALEXANDRIA,AUSTRALIA,,
453,AUAYD,ALROY DOWNS,AUSTRALIA,,
454,AUAYL,ANTHONY LAGOON,AUSTRALIA,,
455,AUAYQ,AYERS ROCK,AUSTRALIA,,
456,AUAYR,AYR,AUSTRALIA,,
457,AUBDB,BUNDABERG,AUSTRALIA,,
458,AUBHQ,BROKEN HILL,AUSTRALIA,,
459,AUBHT,BRIGHTON DOWNS,AUSTRALIA,,
460,AUBIP,BULIMBA,AUSTRALIA,,
461,AUBLW,BUNGALOW,AUSTRALIA,,
462,AUBME,BROOME,AUSTRALIA,,
463,AUBMP,BRAMPTON,AUSTRALIA,,
464,AUBMW,BROADMEADOWS,AUSTRALIA,,
465,AUBND,BUNDALL,AUSTRALIA,,
466,AUBNE,BRISBANE,AUSTRALIA,-27.45,153.06666666666666
467,AUBOX,BORROLOOLA,AUSTRALIA,,
468,AUBQL,BOULIA,AUSTRALIA,,
469,AUBRA,BRISBANE APT,AUSTRALIA,,
470,AUBRJ,BRIGHT,AUSTRALIA,,
471,AUBRK,BOURKE,AUSTRALIA,,
472,AUBTB,BOTANY BAY,AUSTRALIA,,
473,AUBTD,BRUNETTE DOWNS,AUSTRALIA,,
474,AUBUC,BURKETOWN,AUSTRALIA,,
475,AUBUS,BUSSELTON,AUSTRALIA,,
476,AUBUY,BUNBURY,AUSTRALIA,,
477,AUBWQ,BREWARRINA,AUSTRALIA,,
478,AUBWT,BURNIE,AUSTRALIA,,
